LAUS Code,State FIPS,County FIPS,County Name/State Abbreviation,Period,Force,Employed,Unemployed,rate
CN4508500000000,45,085,"Sumter County, SC",Feb-20,"44,352     ","42,722     ","1,630     ",3.7
CN4508700000000,45,087,"Union County, SC",Feb-20,"11,811     ","11,354     ",457     ,3.9
CN4508900000000,45,089,"Williamsburg County, SC",Feb-20,"12,128     ","11,530     ",598     ,4.9
CN4509100000000,45,091,"York County, SC",Feb-20,"142,455     ","138,377     ","4,078     ",2.9
CN4600300000000,46,003,"Aurora County, SD",Feb-20,"1,470     ","1,428     ",42     ,2.9
CN4600500000000,46,005,"Beadle County, SD",Feb-20,"9,505     ","9,191     ",314     ,3.3
CN4600700000000,46,007,"Bennett County, SD",Feb-20,"1,072     ","1,012     ",60     ,5.6
CN4600900000000,46,009,"Bon Homme County, SD",Feb-20,"2,824     ","2,722     ",102     ,3.6
CN4601100000000,46,011,"Brookings County, SD",Feb-20,"19,473     ","18,870     ",603     ,3.1
CN4601300000000,46,013,"Brown County, SD",Feb-20,"20,731     ","20,040     ",691     ,3.3
CN4601500000000,46,015,"Brule County, SD",Feb-20,"2,357     ","2,278     ",79     ,3.4
CN4601700000000,46,017,"Buffalo County, SD",Feb-20,665     ,621     ,44     ,6.6
CN4601900000000,46,019,"Butte County, SD",Feb-20,"4,969     ","4,780     ",189     ,3.8
CN4602100000000,46,021,"Campbell County, SD",Feb-20,768     ,736     ,32     ,4.2
CN4602300000000,46,023,"Charles Mix County, SD",Feb-20,"3,634     ","3,507     ",127     ,3.5
CN4602500000000,46,025,"Clark County, SD",Feb-20,"1,887     ","1,797     ",90     ,4.8
CN4602700000000,46,027,"Clay County, SD",Feb-20,"7,825     ","7,614     ",211     ,2.7
CN4602900000000,46,029,"Codington County, SD",Feb-20,"15,519     ","14,996     ",523     ,3.4
CN4603100000000,46,031,"Corson County, SD",Feb-20,"1,346     ","1,274     ",72     ,5.3
CN4603300000000,46,033,"Custer County, SD",Feb-20,"3,996     ","3,785     ",211     ,5.3
CN4603500000000,46,035,"Davison County, SD",Feb-20,"10,982     ","10,617     ",365     ,3.3
CN4603700000000,46,037,"Day County, SD",Feb-20,"2,748     ","2,574     ",174     ,6.3
CN4603900000000,46,039,"Deuel County, SD",Feb-20,"2,119     ","1,957     ",162     ,7.6
CN4604100000000,46,041,"Dewey County, SD",Feb-20,"2,169     ","2,030     ",139     ,6.4
CN4604300000000,46,043,"Douglas County, SD",Feb-20,"1,566     ","1,506     ",60     ,3.8
CN4604500000000,46,045,"Edmunds County, SD",Feb-20,"2,013     ","1,951     ",62     ,3.1
CN4604700000000,46,047,"Fall River County, SD",Feb-20,"2,882     ","2,745     ",137     ,4.8
CN4604900000000,46,049,"Faulk County, SD",Feb-20,"1,021     ",982     ,39     ,3.8
CN4605100000000,46,051,"Grant County, SD",Feb-20,"4,423     ","4,185     ",238     ,5.4
CN4605300000000,46,053,"Gregory County, SD",Feb-20,"1,978     ","1,904     ",74     ,3.7
CN4605500000000,46,055,"Haakon County, SD",Feb-20,"1,029     ",996     ,33     ,3.2
CN4605700000000,46,057,"Hamlin County, SD",Feb-20,"3,282     ","3,167     ",115     ,3.5
CN4605900000000,46,059,"Hand County, SD",Feb-20,"1,741     ","1,693     ",48     ,2.8
CN4606100000000,46,061,"Hanson County, SD",Feb-20,"1,736     ","1,628     ",108     ,6.2
CN4606300000000,46,063,"Harding County, SD",Feb-20,706     ,688     ,18     ,2.5
CN4606500000000,46,065,"Hughes County, SD",Feb-20,"9,926     ","9,611     ",315     ,3.2
CN4606700000000,46,067,"Hutchinson County, SD",Feb-20,"3,598     ","3,446     ",152     ,4.2
CN4606900000000,46,069,"Hyde County, SD",Feb-20,683     ,658     ,25     ,3.7
CN4607100000000,46,071,"Jackson County, SD",Feb-20,"1,116     ","1,047     ",69     ,6.2
CN4607300000000,46,073,"Jerauld County, SD",Feb-20,"1,089     ","1,063     ",26     ,2.4
CN4607500000000,46,075,"Jones County, SD",Feb-20,502     ,483     ,19     ,3.8
CN4607700000000,46,077,"Kingsbury County, SD",Feb-20,"2,615     ","2,516     ",99     ,3.8
CN4607900000000,46,079,"Lake County, SD",Feb-20,"6,738     ","6,507     ",231     ,3.4
CN4608100000000,46,081,"Lawrence County, SD",Feb-20,"13,399     ","12,997     ",402     ,3.0
CN4608300000000,46,083,"Lincoln County, SD",Feb-20,"34,894     ","33,933     ",961     ,2.8
CN4608500000000,46,085,"Lyman County, SD",Feb-20,"1,602     ","1,519     ",83     ,5.2
CN4608700000000,46,087,"McCook County, SD",Feb-20,"3,090     ","2,984     ",106     ,3.4
CN4608900000000,46,089,"McPherson County, SD",Feb-20,989     ,938     ,51     ,5.2
CN4609100000000,46,091,"Marshall County, SD",Feb-20,"2,327     ","2,198     ",129     ,5.5
CN4609300000000,46,093,"Meade County, SD",Feb-20,"14,086     ","13,568     ",518     ,3.7
CN4609500000000,46,095,"Mellette County, SD",Feb-20,727     ,683     ,44     ,6.1
CN4609700000000,46,097,"Miner County, SD",Feb-20,"1,159     ","1,124     ",35     ,3.0
CN4609900000000,46,099,"Minnehaha County, SD",Feb-20,"114,408     ","110,654     ","3,754     ",3.3
CN4610100000000,46,101,"Moody County, SD",Feb-20,"3,979     ","3,822     ",157     ,3.9
CN4610200000000,46,102,"Oglala Lakota County, SD",Feb-20,"3,543     ","3,250     ",293     ,8.3
CN4610300000000,46,103,"Pennington County, SD",Feb-20,"56,748     ","54,656     ","2,092     ",3.7
CN4610500000000,46,105,"Perkins County, SD",Feb-20,"1,397     ","1,351     ",46     ,3.3
CN4610700000000,46,107,"Potter County, SD",Feb-20,983     ,950     ,33     ,3.4
CN4610900000000,46,109,"Roberts County, SD",Feb-20,"4,874     ","4,566     ",308     ,6.3
CN4611100000000,46,111,"Sanborn County, SD",Feb-20,"1,142     ","1,100     ",42     ,3.7
CN4611500000000,46,115,"Spink County, SD",Feb-20,"3,145     ","2,995     ",150     ,4.8
CN4611700000000,46,117,"Stanley County, SD",Feb-20,"1,834     ","1,756     ",78     ,4.3
CN4611900000000,46,119,"Sully County, SD",Feb-20,775     ,754     ,21     ,2.7
CN4612100000000,46,121,"Todd County, SD",Feb-20,"3,138     ","2,939     ",199     ,6.3
CN4612300000000,46,123,"Tripp County, SD",Feb-20,"2,967     ","2,877     ",90     ,3.0
CN4612500000000,46,125,"Turner County, SD",Feb-20,"4,726     ","4,544     ",182     ,3.9
CN4612700000000,46,127,"Union County, SD",Feb-20,"8,587     ","8,268     ",319     ,3.7
CN4612900000000,46,129,"Walworth County, SD",Feb-20,"2,105     ","1,953     ",152     ,7.2
CN4613500000000,46,135,"Yankton County, SD",Feb-20,"11,964     ","11,590     ",374     ,3.1
CN4613700000000,46,137,"Ziebach County, SD",Feb-20,902     ,869     ,33     ,3.7
CN4700100000000,47,001,"Anderson County, TN",Feb-20,"34,885     ","33,554     ","1,331     ",3.8
CN4700300000000,47,003,"Bedford County, TN",Feb-20,"21,271     ","20,406     ",865     ,4.1
CN4700500000000,47,005,"Benton County, TN",Feb-20,"6,989     ","6,597     ",392     ,5.6
CN4700700000000,47,007,"Bledsoe County, TN",Feb-20,"4,441     ","4,178     ",263     ,5.9
CN4700900000000,47,009,"Blount County, TN",Feb-20,"64,320     ","61,894     ","2,426     ",3.8
CN4701100000000,47,011,"Bradley County, TN",Feb-20,"53,279     ","51,327     ","1,952     ",3.7
CN4701300000000,47,013,"Campbell County, TN",Feb-20,"15,036     ","14,248     ",788     ,5.2
CN4701500000000,47,015,"Cannon County, TN",Feb-20,"6,752     ","6,540     ",212     ,3.1
CN4701700000000,47,017,"Carroll County, TN",Feb-20,"12,148     ","11,510     ",638     ,5.3
CN4701900000000,47,019,"Carter County, TN",Feb-20,"24,202     ","23,143     ","1,059     ",4.4
CN4702100000000,47,021,"Cheatham County, TN",Feb-20,"22,364     ","21,717     ",647     ,2.9
CN4702300000000,47,023,"Chester County, TN",Feb-20,"8,636     ","8,323     ",313     ,3.6
CN4702500000000,47,025,"Claiborne County, TN",Feb-20,"13,215     ","12,587     ",628     ,4.8
CN4702700000000,47,027,"Clay County, TN",Feb-20,"2,780     ","2,576     ",204     ,7.3
CN4702900000000,47,029,"Cocke County, TN",Feb-20,"15,028     ","14,068     ",960     ,6.4
CN4703100000000,47,031,"Coffee County, TN",Feb-20,"25,893     ","24,857     ","1,036     ",4.0
CN4703300000000,47,033,"Crockett County, TN",Feb-20,"7,204     ","6,877     ",327     ,4.5
CN4703500000000,47,035,"Cumberland County, TN",Feb-20,"23,910     ","22,419     ","1,491     ",6.2
CN4703700000000,47,037,"Davidson County, TN",Feb-20,"412,414     ","401,318     ","11,096     ",2.7
CN4703900000000,47,039,"Decatur County, TN",Feb-20,"4,587     ","4,314     ",273     ,6.0
CN4704100000000,47,041,"DeKalb County, TN",Feb-20,"7,815     ","7,435     ",380     ,4.9
CN4704300000000,47,043,"Dickson County, TN",Feb-20,"27,648     ","26,763     ",885     ,3.2
CN4704500000000,47,045,"Dyer County, TN",Feb-20,"16,658     ","15,793     ",865     ,5.2
CN4704700000000,47,047,"Fayette County, TN",Feb-20,"19,358     ","18,643     ",715     ,3.7
CN4704900000000,47,049,"Fentress County, TN",Feb-20,"7,634     ","7,276     ",358     ,4.7
CN4705100000000,47,051,"Franklin County, TN",Feb-20,"20,717     ","19,872     ",845     ,4.1
CN4705300000000,47,053,"Gibson County, TN",Feb-20,"22,383     ","21,340     ","1,043     ",4.7
CN4705500000000,47,055,"Giles County, TN",Feb-20,"15,251     ","14,510     ",741     ,4.9
CN4705700000000,47,057,"Grainger County, TN",Feb-20,"9,706     ","9,229     ",477     ,4.9
CN4705900000000,47,059,"Greene County, TN",Feb-20,"29,566     ","28,018     ","1,548     ",5.2
CN4706100000000,47,061,"Grundy County, TN",Feb-20,"5,107     ","4,867     ",240     ,4.7
CN4706300000000,47,063,"Hamblen County, TN",Feb-20,"28,703     ","27,450     ","1,253     ",4.4
CN4706500000000,47,065,"Hamilton County, TN",Feb-20,"186,212     ","179,561     ","6,651     ",3.6
